criterion,requirement,current_state,status,gap,owner,target_date,evidence_artifact
CC1.1,Board/leadership oversight of security is documented,No formal record of leadership review,Missing,Establish a documented quarterly leadership security review,[PLACEHOLDER: owner name],[PLACEHOLDER: date],Meeting notes / recurring calendar invite
CC1.4,Organization demonstrates commitment to competence in security-relevant roles,Informal - no documented hiring/training criteria,Partial,Document security-relevant role requirements and training expectations,[PLACEHOLDER: owner name],[PLACEHOLDER: date],Job descriptions / training records
CC2.2,Internal communication of security policies and responsibilities,Policies exist but not formally distributed,Partial,Add onboarding + annual acknowledgement workflow,[PLACEHOLDER: owner name],[PLACEHOLDER: date],Acknowledgement records
CC3.1,Formal risk assessment process,No documented process,Missing,Adopt Risk Assessment Policy and run first assessment,[PLACEHOLDER: owner name],[PLACEHOLDER: date],Risk Assessment Policy + assessment output
CC4.1,Ongoing evaluation of control effectiveness,No periodic control review,Missing,Schedule recurring internal control review,[PLACEHOLDER: owner name],[PLACEHOLDER: date],Review notes
CC5.1,Selection and development of control activities,Ad hoc,Partial,Formalize control activities per Trust Services criterion,[PLACEHOLDER: owner name],[PLACEHOLDER: date],This gap matrix
CC6.1,Logical access is restricted via authentication (SSO/MFA),SSO in place; MFA not enforced org-wide,Partial,Enforce MFA for all in-scope systems,[PLACEHOLDER: owner name],[PLACEHOLDER: date],SSO provider MFA policy export
CC6.2,Access is provisioned/deprovisioned in a controlled manner,No formal offboarding checklist,Missing,Tie access revocation to HR offboarding process,[PLACEHOLDER: owner name],[PLACEHOLDER: date],Offboarding tickets
CC6.3,Periodic access reviews are performed,No reviews performed,Missing,Establish quarterly access review,[PLACEHOLDER: owner name],[PLACEHOLDER: date],Signed-off access review export
CC6.6,Data is encrypted in transit and at rest,TLS in use; at-rest encryption unverified,Partial,Verify and document at-rest encryption for all data stores,[PLACEHOLDER: owner name],[PLACEHOLDER: date],Cloud provider encryption configuration export
CC7.2,System monitoring to identify anomalies,Basic logging; no alerting,Partial,Configure alerting on key security events,[PLACEHOLDER: owner name],[PLACEHOLDER: date],Alert configuration + sample triggered alert
CC7.3,Vulnerability management with defined remediation SLAs,No documented SLA,Missing,Adopt vulnerability scanning + remediation SLA,[PLACEHOLDER: owner name],[PLACEHOLDER: date],Scan results + remediation tracker
CC8.1,Changes are authorized, tested, and approved before production,PR review not enforced on all repos,Partial,Enable branch protection requiring review on all production repos,[PLACEHOLDER: owner name],[PLACEHOLDER: date],Branch protection settings + sampled PRs
CC9.1,Vendor/subservice organization risk is assessed,No vendor register,Missing,Build vendor register and assessment process,[PLACEHOLDER: owner name],[PLACEHOLDER: date],Vendor Risk Management Policy + register
CC9.2,Business continuity and disaster recovery plan exists and is tested,No documented plan,Missing,Adopt BCDR plan and run first restore test,[PLACEHOLDER: owner name],[PLACEHOLDER: date],BCDR Plan + restore test record
